synset_id,definition,eng,spa,jpn,fra,por,ita,pol,cmn,ind
2801938,a container that is usually woven and has handles,"[""basket"", ""handbasket""]","[""cesto""]","[""バスケット"", ""手かご"", ""手篭"", ""手籠"", ""提げ篭""]","[""panier""]","[""cesta"", ""cesto""]","[""canestro"", ""cesta"", ""cestino"", ""cestino_della_spesa"", ""cesto""]","[""kosz"", ""koszyk""]","[""手提篮"", ""篮子""]","[""ambung"", ""antung-antung"", ""bakul"", ""basket"", ""jaras""]"
2804252,the lowest brass wind instrument,"[""bass_horn"", ""sousaphone"", ""tuba""]","[""sousafón""]","[""スーザフォン"", ""チューバ"", ""テューバ""]","[""Sousaphone"", ""soubassophone"", ""tuba""]","[""tuba""]","[""tuba""]","[""tuba""]","[""大号""]","[""tuba""]"
2807731,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,"[""bathroom"", ""bath""]","[""baño""]","[""バス"", ""バスルーム"", ""浴場"", ""浴室"", ""風呂場""]","[""baignoire"", ""bain"", ""salle_de_bains"", ""toilette""]","[""banheiro"", ""casa_de_banho"", ""quarto_de_banho"", ""quartodebanho"", ""sala_de_banho""]","[""bagno"", ""ritirata"", ""toilette""]","[""umywalnia"", ""łazienka""]","[""浴室""]","[""kamar_mandi""]"
2808440,a relatively large open container that you fill with water and use to wash the body,"[""bathtub"", ""bathing_tub"", ""bath"", ""tub""]","[""bañera"", ""baño""]","[""バス"", ""バスタブ"", ""浴槽"", ""湯ぶね"", ""湯桁""]","[""baignoire"", ""bain"", ""bassine"", ""salle_de_bains""]","[""banheira""]","[""bagnarola"", ""tinozza"", ""vasca""]","[""wanna""]","[""浴盆"", ""浴缸"", ""澡盆""]","[""pemandian""]"
2818832,a piece of furniture that provides a place to sleep,"[""bed""]","[""cama""]","[""ベッド"", ""寝台"", ""臥榻""]","[""lit""]","[""Camas"", ""cama"", ""leito""]","[""letto""]","[""łoże"", ""łóżko""]","[""床""]","[""katil"", ""ranjang""]"
2829696,curved segment (of a road or river or railroad track etc.),"[""bend"", ""curve""]","[""codo"", ""curva"", ""pliegue"", ""ángulo""]","[""カーブ"", ""カーヴ"", ""曲がり"", ""曲がり目"", ""曲り""]","[""courbe"", ""courber"", ""ployer""]","[""curva""]","[""ansa"", ""curva""]","[""skręt"", ""zakręt""]","[""弯子"", ""弯曲"", ""曲线""]","[""belokan"", ""kelok"", ""keluk"", ""lengkok"", ""lengkungan""]"
2848216,the flat part of a tool or weapon that (usually) has a cutting edge,"[""blade""]","[""hoja""]","[""中味"", ""中身"", ""刃"", ""剃り刃"", ""剃刃""]","[""feuille"", ""lame""]","[""Lâmina"", ""lâmina""]","[""coltello"", ""lama""]","[""ostrze""]","[""刀片""]","[""mata"", ""mata_pisau""]"
2858304,a small vessel for travel on water,"[""boat""]","[""barco"", ""bote"", ""embarcación""]","[""バッテラ"", ""バッテーラ"", ""ボート"", ""小舟"", ""小船""]","[""bateau"", ""canot"", ""embarcation""]","[""Barco"", ""Barcos"", ""barco"", ""batel"", ""bote""]","[""barca"", ""battello"", ""natante""]","[""krypa"", ""stara_krypa""]","[""小船"", ""无篷小船"", ""舟"", ""船""]","[""bot"", ""kapal"", ""perahu"", ""sampan""]"
2866578,an explosive device fused to explode under specific conditions,"[""bomb""]","[""bomba"", ""explosivo""]","[""ボム"", ""爆弾"", ""爆裂弾""]","[""bombardement"", ""bombarder"", ""bombe""]","[""Bombas"", ""bomba""]","[""bomba""]","[""bomba""]","[""炸弹""]","[""bom""]"
2876657,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,"[""bottle""]","[""botella""]","[""ビン"", ""ボトル"", ""壜"", ""瓶""]","[""bouteille""]","[""Garrafa"", ""biberão"", ""botelha"", ""frasco"", ""garrafa""]","[""bottiglia""]","[""butelka""]","[""瓶"", ""瓶子""]","[""botol""]"
2879718,"a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow","[""bow""]","[""arco""]","[""ボウ"", ""ボー"", ""弓"", ""洋弓""]","[""arc"", ""proue""]","[""arco""]","[""arco""]","[""łuk""]","[""弓""]","[""busur"", ""ibu_panah""]"
2883344,a (usually rectangular) container; may have a lid,"[""box""]","[""caja""]","[""ボックス"", ""函"", ""匣"", ""筐"", ""筥""]","[""boite"", ""boîte"", ""caisse""]","[""caixa""]","[""astuccio"", ""cassa"", ""cassetta"", ""scatola""]","[""pudełko""]","[""盒子"", ""箱"", ""箱子""]","[""kotak"", ""peti""]"
2898711,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.,"[""bridge"", ""span""]","[""puente""]","[""かけ橋"", ""ブリッジ"", ""懸け橋"", ""懸橋"", ""掛け橋""]","[""passerelle"", ""pont""]","[""ponte""]","[""ponte""]","[""most""]","[""桥"", ""桥梁""]","[""jambatan"", ""jembatan""]"
2913152,a structure that has a roof and walls and stands more or less permanently in one place,"[""building"", ""edifice""]","[""edificio"", ""inmueble""]","[""ビル"", ""ビルジング"", ""ビルディング"", ""営造物"", ""堂宇""]","[""bâtiment"", ""immeuble"", ""maison"", ""édifice""]","[""casa"", ""edifício"", ""edifícios"", ""prédio""]","[""costruzione"", ""edificio"", ""fabbricato"", ""palazzo"", ""stabile""]","[""budynek""]","[""大厦"", ""大建筑物"", ""建筑"", ""建筑物"", ""房屋""]","[""bangunan"", ""gedung"", ""perumahan""]"
2916350,a projectile that is fired from a gun,"[""bullet"", ""slug""]","[""bala""]","[""てっぽう弾"", ""てっぽう玉"", ""弾"", ""弾丸"", ""鉄砲だま""]","[""balle""]","[""Projetil_balístico"", ""Projétil_balístico"", ""bala"", ""balaço""]","[""palla"", ""pallottola""]","[""kulka""]","[""子弹"", ""枪弹""]","[""pelor"", ""peluru""]"
2924116,a vehicle carrying many passengers; used for public transport,"[""bus"", ""autobus"", ""coach"", ""charabanc"", ""double-decker""]","[""autobús""]","[""2階建てバス"", ""2階建バス"", ""オムニバス"", ""ダブルデッカ"", ""ダブルデッカー""]","[""autobus"", ""autocar"", ""bus""]","[""Autocarro"", ""auto-ônibus"", ""autocarro"", ""autocarros"", ""carreira""]","[""autobus"", ""autocorriera"", ""autopullman"", ""autopulman"", ""corriera""]","[""autobus""]","[""公共汽车"", ""公车"", ""大型客车"", ""大型游览巴士"", ""大客车""]","[""bas"", ""bis"", ""bus""]"
2930766,a car driven by a person whose job is to take passengers where they want to go in exchange for money,"[""cab"", ""hack"", ""taxi"", ""taxicab""]","[""taxi""]","[""タクシ"", ""タクシー"", ""ハイタク"", ""円タク"", ""辻自動車""]","[""fiacre"", ""taxi""]","[""Taxi"", ""táxi""]","[""autopubblica"", ""tassì"", ""taxi""]","[""taksówka"", ""taxi""]","[""出租汽车"", ""出租车"", ""的士"", ""计程车""]","[""taksi""]"
2946921,airtight sealed metal container for food or drink or paint etc.,"[""can"", ""tin"", ""tin_can""]","[""bote"", ""lata""]","[""缶""]","[""boite_de_conserve"", ""boîte"", ""canette"", ""étain""]","[""caixa_de_lata"", ""lata"", ""vasilha""]","[""barattolo"", ""bussolotto"", ""latta"", ""lattina""]","[""puszka""]","[""听头"", ""罐头"", ""马口铁器""]","[""kaleng"", ""tin"", ""tong""]"
2954340,a tight-fitting headdress,"[""cap""]","[""gorra""]","[""キャップ"", ""シャッポ"", ""シャッポー"", ""シャポー"", ""帽子""]","[""bonnet"", ""casquette""]","[""barrete"", ""boné"", ""quepe""]","[""berretta"", ""berretto"", ""cuffia"", ""cuffietta""]","[""czapka""]","[""便帽"", ""太阳帽"", ""帽子"", ""棒球帽"", ""鸭舌帽""]","[""kep"", ""kopiah"", ""topi""]"
2958343,a motor vehicle with four wheels; usually propelled by an internal combustion engine,"[""car"", ""auto"", ""automobile"", ""machine"", ""motorcar""]","[""auto"", ""automóvil"", ""carro"", ""coche"", ""máquina""]","[""オートモビル"", ""オートモービル"", ""モーターカー"", ""乗用車"", ""四輪車""]","[""auto"", ""automobile"", ""voiture""]","[""auto"", ""automovel"", ""automóveis"", ""automóveis_particulares"", ""automóvel""]","[""auto"", ""automobile"", ""autovettura"", ""macchina"", ""vettura""]","[""osobówka"", ""samochód_osobowy""]","[""机动车"", ""汽车"", ""车""]","[""auto"", ""automobil"", ""kendaraan_bermotor"", ""kereta"", ""mesin""]"
2959942,a wheeled vehicle adapted to the rails of railroad,"[""car"", ""railcar"", ""railway_car"", ""railroad_car""]","[""automotor"", ""coche"", ""vagón""]","[""カー"", ""列車"", ""貨車"", ""車両"", ""車輌""]","[""voiture"", ""wagon""]","[""automotora"", ""automóvel"", ""carro"", ""comboio"", ""trem""]","[""PSEUDOGAP!""]","[""wagon""]","[""有轨车"", ""自动道车""]","[""gerabak"", ""gerbong"", ""lori""]"
3001627,"a seat for one person, with a support for the back","[""chair""]","[""silla""]","[""いす"", ""チェア"", ""倚子"", ""椅子"", ""腰かけ""]","[""chaise"", ""fauteuil""]","[""Cadeiras"", ""assento"", ""cadeira""]","[""sedia"", ""seggiola""]","[""krzesło""]","[""椅子""]","[""bangku"", ""kursi""]"
3028079,a place for public (especially Christian) worship,"[""church"", ""church_building""]","[""iglesia""]","[""チャーチ"", ""会堂"", ""教会"", ""教会堂"", ""聖堂""]","[""église""]","[""igreja"", ""igrejas"", ""templo""]","[""chiesa""]","[""Dom_Boży"", ""kościół""]","[""教会"", ""教堂"", ""礼拜堂""]","[""gereja""]"
3030663,finely ground tobacco wrapped in paper; for smoking,"[""cigarette"", ""cigaret"", ""coffin_nail"", ""butt"", ""fag""]","[""cigarrillo""]","[""たばこ"", ""もく"", ""シガレット"", ""シガーレット"", ""タバコ""]","[""Cigarette"", ""cigare"", ""cigarette""]","[""cigarro"", ""tabaco""]","[""sigaretta""]","[""papieros""]","[""卷烟"", ""烟"", ""纸烟"", ""香烟""]","[""rokok""]"
3046257,a timepiece that shows the time of day,"[""clock""]","[""reloj""]","[""クロック"", ""時計"", ""時辰儀""]","[""horloge"", ""pendule""]","[""Relógios"", ""pulso_de_disparo"", ""relógio""]","[""orologio""]","[""zegar""]","[""时钟"", ""钟""]","[""jam""]"
3057021,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,"[""coat""]","[""abrigo""]","[""オーバ"", ""オーバコート"", ""オーバー"", ""オーバーコート"", ""コート""]","[""manteau""]","[""Casaco"", ""casaco"", ""sobretudo""]","[""cappotto""]","[""płaszcz""]","[""外套"", ""外衣"", ""大衣"", ""短上衣""]","[""jas"", ""mantel""]"
3058107,a thin layer covering something,"[""coating"", ""coat""]","[""baño"", ""capa"", ""mano"", ""recubrimiento""]","[""コーティング"", ""上塗"", ""上塗り"", ""塗"", ""塗り""]","[""revêtement""]","[""capa""]","[""mano"", ""strato""]","[""obrzutka""]","[""外层"", ""涂层""]","[""lapis"", ""lapisan"", ""saduran""]"
3076708,articles of commerce,"[""commodity"", ""trade_good"", ""good""]","[""artículo"", ""bien"", ""bien_comercial"", ""género"", ""mercancía""]","[""品物"", ""商いもの"", ""商い物"", ""商品"", ""商売物""]","[""bien"", ""bien_de_consommation_courante"", ""denrée"", ""marchandise"", ""produit""]","[""Bens"", ""artigo"", ""bem"", ""fazenda"", ""mercadoria""]","[""bene"", ""genere"", ""mercanzia"", ""merci"", ""roba""]","[""towar""]","[""商品"", ""货物""]","[""barang"", ""barang_dagangan"", ""barangan"", ""komoditas"", ""komoditi""]"
3081021,an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system,"[""component"", ""constituent"", ""element""]","[""componente"", ""elemento""]","[""要素"", ""部分品"", ""部品""]","[""composant"", ""composante"", ""constituant"", ""élément""]","[""componente"", ""parte""]","[""componente"", ""elemento"", ""ingrediente""]","[""element""]","[""元件"", ""成分"", ""组件"", ""组成部分"", ""部件""]","[""ahli"", ""anasir"", ""bagian"", ""bahan"", ""elemen""]"
3082979,a machine for performing calculations automatically,"[""computer"", ""computing_machine"", ""computing_device"", ""data_processor"", ""electronic_computer""]","[""computadora"", ""ordenador"", ""procesador""]","[""コンピュータ"", ""コンピューター"", ""データプロセッサー"", ""計算器"", ""計算機""]","[""calculateur"", ""ordinateur""]","[""calculadora"", ""computador""]","[""calcolatore"", ""calcolatore_elettronico"", ""cervello_elettronico"", ""computer"", ""elaboratore""]","[""elektroniczna_maszyna_licząca""]","[""电子计算机"", ""电脑"", ""计算机""]","[""komputer""]"
3104594,a thing made to be similar or identical to another thing,"[""copy""]","[""copia"", ""imitación"", ""réplica""]","[""コピー"", ""写"", ""写し"", ""写本"", ""摸造""]","[""copie""]","[""cópia"", ""reprodução""]","[""copia""]","[""kopia""]","[""副本"", ""复制品"", ""拷贝""]","[""salinan"", ""tiruan""]"
3115180,fabric woven from cotton fibers,"[""cotton""]","[""algodón""]","[""コットン"", ""木綿"", ""綿"", ""綿布"", ""綿織物""]","[""coton""]","[""algodão""]","[""cotonato""]","[""bawełna"", ""tkanina_bawełniana""]","[""棉"", ""棉布"", ""棉花织物""]","[""benang"", ""kapas""]"
3128519,toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin,"[""cream"", ""ointment"", ""emollient""]","[""emoliente"", ""ungüento""]","[""クリーム"", ""油薬"", ""皮膚軟化剤"", ""軟膏"", ""軟膏剤""]","[""crème"", ""pommade"", ""émollient""]","[""creme""]","[""crema"", ""emolliente"", ""pomata""]","[""krem""]","[""油膏"", ""润肤剂"", ""软膏"", ""面霜""]","[""krim"", ""salap""]"
3147509,a small open container usually used for drinking; usually has a handle,"[""cup""]","[""taza""]","[""カップ"", ""コップ""]","[""tasse""]","[""taça"", ""xícara""]","[""tazza""]","[""filiżanka""]","[""杯"", ""杯子""]","[""cangkir"", ""cawan"", ""mangkuk""]"
3151077,hanging cloth used as a blind (especially for a window),"[""curtain"", ""drape"", ""drapery"", ""mantle"", ""pall""]","[""cortina""]","[""カーテン"", ""垂れ絹"", ""帳"", ""帷"", ""帷帳""]","[""manteau"", ""rideau"", ""tenture""]","[""cortina"", ""reposteiro""]","[""cortina"", ""panneggiamento"", ""tenda"", ""velario""]","[""zasłona""]","[""帘子"", ""窗帘""]","[""langsir"", ""lurub"", ""tabir""]"
3169390,something used to beautify,"[""decoration"", ""ornament"", ""ornamentation""]","[""adorno"", ""decoración""]","[""オーナメント"", ""デコレーション"", ""修飾"", ""化粧"", ""壁掛け""]","[""décoration"", ""ornement"", ""parure""]","[""adorno"", ""decoração"", ""ornamento"", ""ornato""]","[""addobbamento"", ""addobbo"", ""decorazione"", ""fregio"", ""guarnizione""]","[""dekoracja""]","[""装潢"", ""装饰"", ""装饰品""]","[""dekor"", ""dekorasi"", ""hiasan"", ""ornamen"", ""perhiasan""]"
3179701,a piece of furniture with a writing surface and usually drawers or other compartments,"[""desk""]","[""escritorio""]","[""デスク"", ""ビューロー"", ""事務机"", ""几案"", ""勉強机""]","[""bureau""]","[""escrivaninha"", ""mesa"", ""secretária""]","[""banco"", ""scrivania"", ""tavolino""]","[""biurko""]","[""书桌"", ""工作台"", ""桌子""]","[""meja""]"
3219135,a small replica of a person; used as a toy,"[""doll"", ""dolly""]","[""muñeca""]","[""お人形さん"", ""ドール"", ""人形""]","[""poupée"", ""vierge""]","[""Bonecos"", ""boneca"", ""boneco""]","[""bambola"", ""bambolina"", ""bambolotto"", ""fantoccio"", ""pupattola""]","[""lala"", ""lalka""]","[""娃娃"", ""洋娃娃"", ""玩偶""]","[""anak-anak"", ""boneka"", ""patung""]"
3234306,a representation of forms or objects on a surface by means of lines,"[""drawing""]","[""dibujo""]","[""ドローイング"", ""図"", ""図案"", ""図画"", ""図絵""]","[""dessin""]","[""desenho"", ""figura"", ""ilustração"", ""imagem"", ""pintura""]","[""disegno""]","[""grafika"", ""rysunek""]","[""图片"", ""图画"", ""绘图""]","[""lukisan""]"
3239726,a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows),"[""drill""]","[""taladradora""]","[""せん孔機"", ""ドリル"", ""穿孔器"", ""穿孔機"", ""錐""]","[""perceuse""]","[""furadeira""]","[""perforatrice"", ""trapano""]","[""bormaszyna"", ""wiertarka""]","[""钻"", ""钻头""]","[""bor"", ""penebuk"", ""penggali"", ""penggerek"", ""pengorek""]"
3287178,final product; the things produced,"[""end_product"", ""output""]","[""producción""]","[""出力"", ""最終生産物"", ""最終産物""]","[""production"", ""résultat""]","[""produção""]","[""prodotto_finale"", ""prodotto_finito""]","[""produkt_finalny""]","[""成品""]","[""hasil"", ""keluaran""]"
3290771,something that provides access (to get in or get out),"[""entrance"", ""entranceway"", ""entryway"", ""entry"", ""entree""]","[""acceso"", ""boca"", ""entrada"", ""ingreso"", ""vía_de_acceso""]","[""あがり口"", ""とば口"", ""エントランス"", ""上がりぐち"", ""上がり口""]","[""abord"", ""accès"", ""entrée"", ""élément""]","[""boca"", ""entrada""]","[""accesso"", ""adito"", ""entrata"", ""ingresso""]","[""próg"", ""wejście""]","[""入口"", ""入口道路"", ""入场"", ""进入"", ""进口""]","[""jalan_masuk"", ""pintu_masuk""]"
3291819,"a flat (usually rectangular) container for a letter, thin package, etc.","[""envelope""]","[""sobre""]","[""のし袋"", ""エンベロープ"", ""上包み"", ""封じ袋"", ""封皮""]","[""enveloppe""]","[""envelope"", ""sobre"", ""sobrecarta"", ""sobrescrito""]","[""busta"", ""bustina""]","[""koperta""]","[""信封""]","[""sampul"", ""sampul_surat""]"
3294048,an instrumentality needed for an undertaking or to perform a service,"[""equipment""]","[""equipamiento"", ""equipo""]","[""イクイップメント"", ""エクィップメント"", ""エクイップメント"", ""備品"", ""器機""]","[""équipement""]","[""equipamento"", ""equipamentos"", ""ferramenta""]","[""apparecchiatura"", ""armamentario"", ""attrezzo"", ""dotazione"", ""materiale""]","[""wyposażenie""]","[""设备""]","[""alat"", ""kelengkapan"", ""peralatan"", ""perlengkapan"", ""radas""]"
3306207,commodities (goods or services) sold to a foreign country,"[""export"", ""exportation""]","[""exportación""]","[""エクスポート"", ""輸出品""]","[""exportation""]","[""comando_exportar"", ""exportação""]","[""esportazione"", ""export"", ""merce_d'esportazione""]","[""eksport""]","[""出口"", ""输出"", ""输出品""]","[""ekspor""]"
3309808,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,"[""fabric"", ""cloth"", ""material"", ""textile""]","[""paño"", ""tejido"", ""tela"", ""textil"", ""trapo""]","[""クロス"", ""クロース"", ""テキスタイル"", ""テクスタイル"", ""ファブリック""]","[""chiffon"", ""linge"", ""matière"", ""tenue"", ""textile""]","[""Tecido_têxtil"", ""estofo"", ""fazenda"", ""pano"", ""produtos_têxteis""]","[""panno"", ""pezza"", ""roba"", ""stoffa"", ""tela""]","[""materiał""]","[""台布"", ""布"", ""织物"", ""衣料""]","[""bahan_pakaian"", ""kain"", ""tekstil""]"
3315023,a building or place that provides a particular service or is used for a particular industry,"[""facility"", ""installation""]","[""instalación"", ""servicio""]","[""ファシリティ"", ""ファシリティー"", ""ファシリテイ"", ""施設"", ""設備""]","[""installation""]","[""infra-estrutura"", ""instalação"", ""serviço""]","[""installazione"", ""istallazione""]","[""instalacja"", ""media""]","[""设备"", ""设施""]","[""fasilitas"", ""kemudahan""]"
3316406,a plant consisting of one or more buildings with facilities for manufacturing,"[""factory"", ""mill"", ""manufacturing_plant"", ""manufactory""]","[""fabrica"", ""fábrica"", ""planta""]","[""ファクトリ"", ""ファクトリー"", ""工場"", ""製作所"", ""製造所""]","[""atelier"", ""fabrique"", ""usine""]","[""casademoinho"", ""fábrica"", ""manufatura"", ""usina""]","[""fabbrica"", ""manifattura"", ""opificio"", ""stabilimento""]","[""fabryka""]","[""制造厂"", ""厂"", ""厂家"", ""工厂""]","[""kilang"", ""loji"", ""pabrik"", ""pabrikan""]"
3322099,workplace consisting of farm buildings and cultivated land as a unit,"[""farm""]","[""cortijo"", ""estancia"", ""hacienda"", ""masía""]","[""ファーム"", ""耕園"", ""農園"", ""農場""]","[""exploitation"", ""exploitation_agricole"", ""ferme""]","[""fazenda"", ""granja"", ""quinta"", ""quintas"", ""sítio""]","[""allevamento"", ""fattoria"", ""masseria"", ""podere""]","[""gospodarka"", ""gospodarstwo""]","[""农场""]","[""ladang"", ""perladangan"", ""pertanian""]"
3327234,a barrier that serves to enclose an area,"[""fence"", ""fencing""]","[""alambrada"", ""cerca""]","[""さく"", ""フェンス"", ""囲い"", ""垣"", ""垣根""]","[""clôture"", ""escrime""]","[""barreira"", ""cerca"", ""estacada"", ""paliçada""]","[""recinto"", ""recinzione""]","[""ogrodzenie""]","[""围墙"", ""栅栏"", ""栏"", ""篱笆"", ""藩篱""]","[""pagar""]"
3329663,a boat that transports people or vehicles across a body of water and operates on a regular schedule,"[""ferry"", ""ferryboat""]","[""transbordador""]","[""わたり船"", ""フェリー"", ""フェリーボート"", ""乗り合い"", ""乗り合い船""]","[""bac"", ""ferry"", ""ferry-boat""]","[""balsa""]","[""nave_traghetto"", ""traghetto""]","[""prom""]","[""渡船""]","[""feri""]"
3354903,emblem usually consisting of a rectangular piece of cloth of distinctive design,"[""flag""]","[""bandera""]","[""のぼり"", ""フラグ"", ""フラッグ"", ""幟"", ""幟旗""]","[""pavillon"", ""étendard""]","[""Bandeira"", ""bandeira"", ""estandarte"", ""pavilhão"", ""pendão""]","[""bandiera"", ""insegna""]","[""flaga""]","[""旗"", ""旗子"", ""旗帜""]","[""bendera""]"
3365592,"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)","[""floor"", ""flooring""]","[""piso"", ""suelo""]","[""フロア"", ""フロアー"", ""フローア"", ""床""]","[""pays"", ""plancher"", ""sol"", ""étage""]","[""assoalho"", ""chão"", ""pavimento"", ""piso""]","[""impiantito"", ""pavimento"", ""piancito"", ""piantito""]","[""podłoga"", ""ziemia""]","[""地板"", ""楼板""]","[""lantai""]"
3365991,a structure consisting of a room or set of rooms at a single position along a vertical scale,"[""floor"", ""level"", ""storey"", ""story""]","[""piso"", ""planta""]","[""フロア"", ""フロアー"", ""フローア"", ""レブル"", ""レベル""]","[""niveau"", ""étage""]","[""andar"", ""pavimento"", ""piso""]","[""piano""]","[""kondygnacja""]","[""层"", ""楼"", ""楼层""]","[""lantai"", ""paras"", ""tingkat""]"
3405725,furnishings that make a room or other area ready for occupancy,"[""furniture"", ""piece_of_furniture"", ""article_of_furniture""]","[""mobiliario"", ""mueble""]","[""インテリア"", ""ファニチャー"", ""ファーニチャー"", ""ファーニチュア"", ""具足""]","[""meuble""]","[""alfaia"", ""mobiliário"", ""mobília"", ""movéis"", ""móvel""]","[""ammobiliamento"", ""arredamento"", ""mobile"", ""mobilia"", ""mobilio""]","[""mebel""]","[""家具""]","[""mebel"", ""perabot""]"
3419014,an article of clothing,"[""garment""]","[""indumento"", ""prenda"", ""prenda_de_vestir"", ""ropa"", ""vestido""]","[""お召し物"", ""御召し物""]","[""vêtement""]","[""roupa"", ""vestuário""]","[""abito"", ""capo_di_vestiario"", ""indumento"", ""veste"", ""vestito""]","[""część_garderoby"", ""element_garderoby"", ""element_ubioru"", ""sztuka_odzieży""]","[""衣服""]","[""pakaian""]"
3427296,a movable barrier in a fence or wall,"[""gate""]","[""verja""]","[""ゲート"", ""門""]","[""porte""]","[""porta"", ""portão""]","[""barriera"", ""cancello""]","[""brama""]","[""闸门""]","[""gapura"", ""lawang"", ""pagar"", ""pintu"", ""pintu_air""]"
3455033,a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),"[""grave"", ""tomb""]","[""tumba""]","[""埋け墓"", ""埋墓"", ""塚穴"", ""墓"", ""墓穴""]","[""tombe"", ""tombeau""]","[""sepultura"", ""tumba"", ""túmulo""]","[""avello"", ""sepolcro"", ""tomba""]","[""grób"", ""mogiła""]","[""坟墓""]","[""kubur"", ""makam"", ""pusara""]"
3461385,a marketplace where groceries are sold,"[""grocery_store"", ""grocery"", ""food_market"", ""market""]","[""abacería""]","[""食品店"", ""食料品店"", ""食料雑貨品店"", ""食料雑貨店""]","[""marché"", ""épicerie""]","[""empório"", ""feira"", ""mercado"", ""mercado/mercadinho"", ""quitanda""]","[""alimentari"", ""drogheria"", ""posteria"", ""spezieria""]","[""sklep_ogólnospożywczy""]","[""副食商店"", ""杂货市场"", ""杂货店""]","[""pasar""]"
3467517,a stringed instrument usually having six strings; played by strumming or plucking,"[""guitar""]","[""guitarra""]","[""ギター""]","[""guitare""]","[""Guitarra"", ""guitarra"", ""violão""]","[""chitarra""]","[""gitara""]","[""六弦琴"", ""吉他""]","[""gitar""]"
3467984,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),"[""gun""]","[""arma_de_fuego""]","[""ガン"", ""火器"", ""鉄砲""]","[""fusil"", ""pistolet""]","[""arma"", ""arma_de_fogo"", ""revóvel""]","[""arma_da_fuoco"", ""pistola""]","[""giwera""]","[""手枪"", ""枪"", ""枪炮""]","[""bedil"", ""meriam"", ""pistol"", ""revolver"", ""senjata_api""]"
3485794,a square piece of cloth used for wiping the eyes or nose or as a costume accessory,"[""handkerchief"", ""hankie"", ""hanky"", ""hankey""]","[""pañuelo""]","[""ハンカチ"", ""ハンカチーフ"", ""ハンケチ"", ""ハンケチーフ"", ""手巾""]","[""mouchoir""]","[""lenço""]","[""fazzoletto"", ""moccichino""]","[""chusteczka""]","[""手帕"", ""手绢""]","[""kacu"", ""saputangan""]"
3497657,headdress that protects the head from bad weather; has shaped crown and usually a brim,"[""hat"", ""chapeau"", ""lid""]","[""sombrero""]","[""かぶり笠"", ""シャッポ"", ""シャッポー"", ""シャポー"", ""ハット""]","[""casquette"", ""chapeau"", ""couvercle""]","[""chapéu"", ""sombreiro""]","[""cappello"", ""copricapo""]","[""kapelusz""]","[""帽子""]","[""topi""]"
3504723,(usually plural) the office that serves as the administrative center of an enterprise,"[""headquarters"", ""central_office"", ""main_office"", ""home_office"", ""home_base""]","[""administración""]","[""ヘッドクォーター"", ""ヘッドクオーター"", ""メインオフィス"", ""メーンオフィス"", ""中央局""]","[""siège"", ""siège_social""]","[""matrizes""]","[""quartier_generale"", ""sede""]","[""centrala""]","[""总部""]","[""markas""]"
3512147,an aircraft without wings that obtains its lift from the rotation of overhead blades,"[""helicopter"", ""chopper"", ""whirlybird"", ""eggbeater""]","[""helicóptero""]","[""ヘリ"", ""ヘリコプタ"", ""ヘリコプター""]","[""banane"", ""hélicoptère""]","[""Helicoptero"", ""Helicópteros"", ""helicóptero""]","[""elicottero""]","[""helikopter"", ""śmigłowiec""]","[""直升机"", ""直升飞机""]","[""helikopter""]"
3542333,a building where travelers can pay for lodging and meals and other services,"[""hotel""]","[""hotel""]","[""お宿"", ""ホテル"", ""人宿"", ""客亭"", ""客舎""]","[""hôtel""]","[""Hotéis"", ""hotel""]","[""albergo"", ""hotel""]","[""hotel""]","[""宾馆"", ""旅馆"", ""酒店"", ""饭店""]","[""hotel""]"
3544360,a dwelling that serves as living quarters for one or more families,"[""house""]","[""casa""]","[""お宅"", ""お家"", ""ハウス"", ""メゾン"", ""人家""]","[""maison""]","[""Habitações"", ""casa"", ""edifícios_residenciais"", ""firma"", ""habitação""]","[""abitazione"", ""casa""]","[""dom""]","[""住宅"", ""家"", ""房子"", ""房屋""]","[""isi_rumah"", ""keluarga"", ""panti"", ""rumah""]"
3574816,a device that requires skill for proper use,"[""instrument""]","[""instrumento""]","[""器械"", ""機器"", ""機材"", ""機械"", ""用器""]","[""instrument"", ""outil"", ""ustensile""]","[""aparelho"", ""ferramenta"", ""instrumento"", ""instrumento_musical""]","[""apparecchio"", ""congegno"", ""strumento""]","[""przyrząd""]","[""仪器"", ""仪表""]","[""peralatan"", ""perkakas""]"
